Id,Name,DayTrend30,Members
837,Crossbow,+5.0%,false
9438,Crossbow string,+9.0%,true
2165,Crunchy tray,+11.0%,true
6693,Crushed nest,+42.0%,true
8628,Crystal of power,+4.0%,true
4207,Crystal seed,+55.0%,true
6729,Dagannoth bones,+11.0%,true
12777,Dareeyak teleport,+5.0%,true
19970,Dark bow tie,+5.0%,true
2641,Dark cavalier,+26.0%,true
11940,Dark fishing bait,+50.0%,true
10127,Dashing kebbit fur,+13.0%,true
1456,Death talisman,+122.0%,true
5547,Death tiara,+45.0%,true
2432,Defence potion(4),+0.0%,true
6390,Desert legs,+37.0%,true
6386,Desert robes,+12.0%,true
6388,Desert top,+27.0%,true
6384,Desert top,+17.0%,true
9340,Diamond bolts,+1.0%,true
9243,Diamond bolts (e),+1.0%,true
11092,Diamond bracelet,+0.0%,true
21969,Diamond dragon bolts,+13.0%,true
21946,Diamond dragon bolts (e),+11.0%,true
1662,Diamond necklace,+0.0%,false
1643,Diamond ring,+0.0%,false
21015,Dinh's bulwark,+4.0%,true
981,Disk of returning,+7.0%,false
8880,Dorgeshuun crossbow,+8.0%,true
21882,Dragon armour set (lg),+3.0%,true
21885,Dragon armour set (sk),+4.0%,true
11227,Dragon arrow(p),+1.0%,true
6739,Dragon axe,+85.0%,true
1377,Dragon battleaxe,+0.0%,true
8524,Dragon bitter,+4.0%,true
1911,Dragon bitter,+23.0%,true
5745,Dragon bitter(m),+5.0%,true
21905,Dragon bolts,+19.0%,true
21924,Dragon bolts (p),+3.0%,true
21926,Dragon bolts (p+),+3.0%,true
21928,Dragon bolts (p++),+6.0%,true
21930,Dragon bolts (unf),+17.0%,true
11840,Dragon boots,+26.0%,true
1215,Dragon dagger,+0.0%,true
1231,Dragon dagger(p),+0.0%,true
5680,Dragon dagger(p+),+0.0%,true
5698,Dragon dagger(p++),+5.0%,true
11231,Dragon dart(p),+0.0%,true
11335,Dragon full helm,+5.0%,true
22978,Dragon hunter lance,+332.0%,true
19484,Dragon javelin,+11.0%,true
19582,Dragon javelin heads,+4.0%,true
19490,Dragon javelin(p++),+2.0%,true
21895,Dragon kiteshield,+13.0%,true
22239,Dragon kiteshield ornament kit,+19.0%,true
1305,Dragon longsword,+0.0%,true
1149,Dragon med helm,+1.0%,true
22103,Dragon metal lump,+26.0%,true
22097,Dragon metal shard,+0.0%,true
22100,Dragon metal slice,+9.0%,true
11920,Dragon pickaxe,+15.0%,true
12800,Dragon pickaxe upgrade kit,+2.0%,true
4585,Dragon plateskirt,+0.0%,true
4587,Dragon scimitar,+0.0%,true
1249,Dragon spear,+1.0%,true
5730,Dragon spear(p++),+10.0%,true
13576,Dragon warhammer,+12.0%,true
22866,Dragonfruit sapling,+184.0%,true
22877,Dragonfruit tree seed,+178.0%,true
1683,Dragonstone amulet (u),+1.0%,true
9244,Dragonstone bolts (e),+10.0%,true
21971,Dragonstone dragon bolts,+2.0%,true
21948,Dragonstone dragon bolts (e),+17.0%,true
1645,Dragonstone ring,+2.0%,true
22957,Drake's claw,+11.0%,true
21652,Drift net,+8.0%,true
11200,Dwarven helmet,+19.0%,true
5747,Dwarven stout(m),+46.0%,true
4166,Earmuffs,+27.0%,true
1399,Earth battlestaff,+0.0%,true
11244,Earth impling jar,+44.0%,true
1440,Earth talisman,+11.0%,false
403,Edible seaweed,+58.0%,true
21140,Efaritay's aid,+31.0%,true
1944,Egg,+3.0%,false
12410,Elf camp teleport,+42.0%,true
12817,Elysian spirit shield,+10.0%,true
11076,Emerald bracelet,+3.0%,true
1639,Emerald ring,+4.0%,false
6667,Empty fishbowl,+100.0%,true
4525,Empty oil lamp,+50.0%,true
5350,Empty plant pot,+150.0%,true
8017,Enchant emerald or jade,+2.0%,true
11455,Energy mix(1),+3.0%,true
13508,Ensouled abyssal head,+4.0%,true
13505,Ensouled aviansie head,+21.0%,true
13496,Ensouled bloodveld head,+11.0%,true
13493,Ensouled dagannoth head,+5.0%,true
13502,Ensouled demon head,+9.0%,true
13511,Ensouled dragon head,+5.0%,true
13475,Ensouled giant head,+4.0%,true
13457,Ensouled minotaur head,+3.0%,true
13451,Ensouled monkey head,+17.0%,true
13484,Ensouled troll head,+0.0%,true
13499,Ensouled tzhaar head,+13.0%,true
13466,Ensouled unicorn head,+8.0%,true
11246,Essence impling jar,+7.0%,true
13235,Eternal boots,+15.0%,true
13227,Eternal crystal,+33.0%,true
21270,Eternal gem,+3.0%,true
20442,Evil chicken legs,+7.0%,true
21177,Expeditious bracelet,+12.0%,true
11960,Extended antifire mix(2),+4.0%,true
